,model,architecture,num_param,accuracy,precision,recall
0,attack-1-a1-conv-0.pth,a1,15704,0.545,0.5384615384615384,0.4329896907216495
1,attack-1-a1-conv-1.pth,a1,15704,0.505,0.4878048780487805,0.41237113402061853
2,attack-1-a1-conv-10.pth,a1,15704,0.51,0.49382716049382713,0.41237113402061853
3,attack-1-a1-conv-11.pth,a1,15704,0.54,0.5316455696202531,0.4329896907216495
4,attack-1-a1-conv-12.pth,a1,15704,0.535,0.5238095238095238,0.4536082474226804
5,attack-1-a1-conv-13.pth,a1,15704,0.55,0.5411764705882353,0.4742268041237113
6,attack-1-a1-conv-14.pth,a1,15704,0.54,0.5324675324675324,0.422680412371134
7,attack-1-a1-conv-15.pth,a1,15704,0.55,0.5421686746987951,0.4639175257731959
8,attack-1-a1-conv-16.pth,a1,15704,0.535,0.5232558139534884,0.4639175257731959
9,attack-1-a1-conv-17.pth,a1,15704,0.52,0.5058823529411764,0.44329896907216493
10,attack-1-a1-conv-18.pth,a1,15704,0.52,0.5060240963855421,0.4329896907216495
11,attack-1-a1-conv-19.pth,a1,15704,0.515,0.5,0.32989690721649484
12,attack-1-a1-conv-2.pth,a1,15704,0.53,0.5185185185185185,0.4329896907216495
13,attack-1-a1-conv-20.pth,a1,15704,0.545,0.5365853658536586,0.4536082474226804
14,attack-1-a1-conv-21.pth,a1,15704,0.53,0.5185185185185185,0.4329896907216495
15,attack-1-a1-conv-22.pth,a1,15704,0.565,0.5609756097560976,0.4742268041237113
16,attack-1-a1-conv-23.pth,a1,15704,0.54,0.5287356321839081,0.4742268041237113
17,attack-1-a1-conv-24.pth,a1,15704,0.525,0.5111111111111111,0.4742268041237113
18,attack-1-a1-conv-25.pth,a1,15704,0.52,0.5068493150684932,0.38144329896907214
19,attack-1-a1-conv-26.pth,a1,15704,0.51,0.4946236559139785,0.4742268041237113
20,attack-1-a1-conv-27.pth,a1,15704,0.52,0.5066666666666667,0.3917525773195876
21,attack-1-a1-conv-28.pth,a1,15704,0.485,0.47,0.4845360824742268
22,attack-1-a1-conv-29.pth,a1,15704,0.52,0.5066666666666667,0.3917525773195876
23,attack-1-a1-conv-3.pth,a1,15704,0.545,0.5384615384615384,0.4329896907216495
24,attack-1-a1-conv-4.pth,a1,15704,0.52,0.5068493150684932,0.38144329896907214
25,attack-1-a1-conv-5.pth,a1,15704,0.54,0.5308641975308642,0.44329896907216493
26,attack-1-a1-conv-6.pth,a1,15704,0.57,0.5662650602409639,0.4845360824742268
27,attack-1-a1-conv-7.pth,a1,15704,0.545,0.5375,0.44329896907216493
28,attack-1-a1-conv-8.pth,a1,15704,0.51,0.4936708860759494,0.4020618556701031
29,attack-1-a1-conv-9.pth,a1,15704,0.485,0.4727272727272727,0.5360824742268041
30,attack-1-a2-conv-0.pth,a2,15704,0.595,0.5730337078651685,0.5425531914893617
31,attack-1-a2-conv-1.pth,a2,15704,0.57,0.5444444444444444,0.5212765957446809
32,attack-1-a2-conv-10.pth,a2,15704,0.58,0.5555555555555556,0.5319148936170213
33,attack-1-a2-conv-11.pth,a2,15704,0.56,0.5277777777777778,0.6063829787234043
34,attack-1-a2-conv-12.pth,a2,15704,0.58,0.5531914893617021,0.5531914893617021
35,attack-1-a2-conv-13.pth,a2,15704,0.595,0.5698924731182796,0.5638297872340425
36,attack-1-a2-conv-14.pth,a2,15704,0.595,0.5764705882352941,0.5212765957446809
37,attack-1-a2-conv-15.pth,a2,15704,0.59,0.5652173913043478,0.5531914893617021
38,attack-1-a2-conv-16.pth,a2,15704,0.565,0.5321100917431193,0.6170212765957447
