,model,architecture,num_param,accuracy,precision,recall
0,attack-1-a1-fcn-0.pth,a1,71809,0.58,0.5866666666666667,0.4536082474226804
1,attack-1-a1-fcn-1.pth,a1,71809,0.57,0.5932203389830508,0.36082474226804123
2,attack-1-a1-fcn-10.pth,a1,71809,0.575,0.5909090909090909,0.4020618556701031
3,attack-1-a1-fcn-11.pth,a1,71809,0.565,0.5757575757575758,0.3917525773195876
4,attack-1-a1-fcn-12.pth,a1,71809,0.565,0.5961538461538461,0.31958762886597936
5,attack-1-a1-fcn-13.pth,a1,71809,0.575,0.6,0.3711340206185567
6,attack-1-a1-fcn-14.pth,a1,71809,0.56,0.5789473684210527,0.3402061855670103
7,attack-1-a1-fcn-15.pth,a1,71809,0.565,0.5757575757575758,0.3917525773195876
8,attack-1-a1-fcn-16.pth,a1,71809,0.58,0.6065573770491803,0.38144329896907214
9,attack-1-a1-fcn-17.pth,a1,71809,0.59,0.6,0.4639175257731959
10,attack-1-a1-fcn-18.pth,a1,71809,0.565,0.578125,0.38144329896907214
11,attack-1-a1-fcn-19.pth,a1,71809,0.58,0.6065573770491803,0.38144329896907214
12,attack-1-a1-fcn-2.pth,a1,71809,0.58,0.5822784810126582,0.4742268041237113
13,attack-1-a1-fcn-20.pth,a1,71809,0.575,0.603448275862069,0.36082474226804123
14,attack-1-a1-fcn-21.pth,a1,71809,0.55,0.5555555555555556,0.36082474226804123
15,attack-1-a1-fcn-22.pth,a1,71809,0.575,0.6,0.3711340206185567
16,attack-1-a1-fcn-23.pth,a1,71809,0.56,0.5789473684210527,0.3402061855670103
17,attack-1-a1-fcn-24.pth,a1,71809,0.58,0.6101694915254238,0.3711340206185567
18,attack-1-a1-fcn-25.pth,a1,71809,0.565,0.5657894736842105,0.44329896907216493
19,attack-1-a1-fcn-26.pth,a1,71809,0.575,0.5833333333333334,0.4329896907216495
20,attack-1-a1-fcn-27.pth,a1,71809,0.57,0.5964912280701754,0.35051546391752575
21,attack-1-a1-fcn-28.pth,a1,71809,0.575,0.5909090909090909,0.4020618556701031
22,attack-1-a1-fcn-29.pth,a1,71809,0.595,0.6379310344827587,0.38144329896907214
23,attack-1-a1-fcn-3.pth,a1,71809,0.59,0.6190476190476191,0.4020618556701031
24,attack-1-a1-fcn-4.pth,a1,71809,0.565,0.5925925925925926,0.32989690721649484
25,attack-1-a1-fcn-5.pth,a1,71809,0.56,0.5849056603773585,0.31958762886597936
26,attack-1-a1-fcn-6.pth,a1,71809,0.555,0.5540540540540541,0.422680412371134
27,attack-1-a1-fcn-7.pth,a1,71809,0.56,0.5692307692307692,0.38144329896907214
28,attack-1-a1-fcn-8.pth,a1,71809,0.565,0.5757575757575758,0.3917525773195876
29,attack-1-a1-fcn-9.pth,a1,71809,0.58,0.5822784810126582,0.4742268041237113
30,attack-1-a2-fcn-0.pth,a2,43177,0.5,0.4605263157894737,0.3723404255319149
31,attack-1-a2-fcn-1.pth,a2,43177,0.5,0.45714285714285713,0.3404255319148936
32,attack-1-a2-fcn-10.pth,a2,43177,0.49,0.44285714285714284,0.32978723404255317
33,attack-1-a2-fcn-11.pth,a2,43177,0.5,0.46153846153846156,0.3829787234042553
34,attack-1-a2-fcn-12.pth,a2,43177,0.5,0.46511627906976744,0.425531914893617
35,attack-1-a2-fcn-13.pth,a2,43177,0.495,0.45454545454545453,0.3723404255319149
36,attack-1-a2-fcn-14.pth,a2,43177,0.495,0.43859649122807015,0.26595744680851063
37,attack-1-a2-fcn-15.pth,a2,43177,0.5,0.45714285714285713,0.3404255319148936
38,attack-1-a2-fcn-16.pth,a2,43177,0.51,0.4722222222222222,0.3617021276595745
39,attack-1-a2-fcn-17.pth,a2,43177,0.495,0.4492753623188406,0.32978723404255317
40,attack-1-a2-fcn-18.pth,a2,43177,0.49,0.44871794871794873,0.3723404255319149
41,attack-1-a2-fcn-19.pth,a2,43177,0.49,0.44594594594594594,0.35106382978723405
42,attack-1-a2-fcn-2.pth,a2,43177,0.48,0.4305555555555556,0.32978723404255317
43,attack-1-a2-fcn-20.pth,a2,43177,0.495,0.4588235294117647,0.4148936170212766
44,attack-1-a2-fcn-21.pth,a2,43177,0.485,0.4444444444444444,0.3829787234042553
45,attack-1-a2-fcn-22.pth,a2,43177,0.495,0.4533333333333333,0.3617021276595745
46,attack-1-a2-fcn-23.pth,a2,43177,0.5,0.46153846153846156,0.3829787234042553
47,attack-1-a2-fcn-24.pth,a2,43177,0.49,0.44594594594594594,0.35106382978723405
48,attack-1-a2-fcn-25.pth,a2,43177,0.515,0.4810126582278481,0.40425531914893614
49,attack-1-a2-fcn-26.pth,a2,43177,0.475,0.43820224719101125,0.4148936170212766
50,attack-1-a2-fcn-27.pth,a2,43177,0.495,0.4533333333333333,0.3617021276595745
51,attack-1-a2-fcn-28.pth,a2,43177,0.51,0.47368421052631576,0.3829787234042553
52,attack-1-a2-fcn-29.pth,a2,43177,0.495,0.4492753623188406,0.32978723404255317
53,attack-1-a2-fcn-3.pth,a2,43177,0.5,0.4634146341463415,0.40425531914893614
54,attack-1-a2-fcn-4.pth,a2,43177,0.49,0.4411764705882353,0.3191489361702128
55,attack-1-a2-fcn-5.pth,a2,43177,0.505,0.463768115942029,0.3404255319148936
56,attack-1-a2-fcn-6.pth,a2,43177,0.475,0.4246575342465753,0.32978723404255317
57,attack-1-a2-fcn-7.pth,a2,43177,0.495,0.4520547945205479,0.35106382978723405
