,model,male_dist,split,architecture
0,0.pth,0.47,0,a4
1,1.pth,0.77,0,a4
2,2.pth,0.61,0,a4
3,3.pth,0.75,0,a4
4,4.pth,0.16,0,a4
5,5.pth,0.73,0,a4
6,6.pth,0.43,0,a4
7,7.pth,0.81,0,a4
8,8.pth,0.01,0,a4
9,9.pth,0.75,0,a4
10,10.pth,0.15,0,a4
11,11.pth,0.72,0,a4
12,12.pth,0.33,0,a4
13,13.pth,0.8,0,a4
14,14.pth,0.36,0,a4
15,15.pth,0.73,0,a4
16,16.pth,0.36,0,a4
17,17.pth,0.86,0,a4
18,18.pth,0.05,0,a4
19,19.pth,0.71,0,a4
20,20.pth,0.32,0,a4
21,21.pth,0.92,0,a4
22,22.pth,0.39,0,a4
23,23.pth,0.79,0,a4
24,24.pth,0.5,0,a4
25,25.pth,0.84,0,a4
26,26.pth,0.42,0,a4
27,27.pth,0.88,0,a4
28,28.pth,0.52,0,a4
29,29.pth,0.74,0,a4
30,30.pth,0.05,0,a4
31,31.pth,0.81,0,a4
32,32.pth,0.11,0,a4
33,33.pth,0.99,0,a4
34,34.pth,0.54,0,a4
35,35.pth,0.82,0,a4
36,36.pth,0.21,0,a4
37,37.pth,0.81,0,a4
38,38.pth,0.43,0,a4
39,39.pth,0.71,0,a4
40,40.pth,0.45,0,a4
41,41.pth,0.78,0,a4
42,42.pth,0.49,0,a4
43,43.pth,0.87,0,a4
44,44.pth,0.17,0,a4
45,45.pth,0.95,0,a4
46,46.pth,0.51,0,a4
47,47.pth,0.71,0,a4
48,48.pth,0.14,0,a4
49,49.pth,0.86,0,a4
50,50.pth,0.23,0,a4
51,51.pth,1.0,0,a4
52,52.pth,0.6,0,a4
53,53.pth,0.71,0,a4
54,54.pth,0.29,0,a4
55,55.pth,0.97,0,a4
56,56.pth,0.3,0,a4
57,57.pth,0.91,0,a4
58,58.pth,0.44,0,a4
59,59.pth,0.92,0,a4
60,60.pth,0.18,0,a4
61,61.pth,0.92,0,a4
62,62.pth,0.59,0,a4
63,63.pth,0.79,0,a4
64,64.pth,0.4,0,a4
65,65.pth,1.0,0,a4
66,66.pth,0.21,0,a4
67,67.pth,0.76,0,a4
68,68.pth,0.63,0,a4
69,69.pth,0.71,0,a4
70,70.pth,0.33,0,a4
71,71.pth,0.96,0,a4
72,72.pth,0.45,0,a4
73,73.pth,0.93,0,a4
74,74.pth,0.45,0,a4
75,75.pth,0.71,0,a4
76,76.pth,0.61,0,a4
77,77.pth,0.76,0,a4
78,78.pth,0.03,0,a4
79,79.pth,0.95,0,a4
80,80.pth,0.03,0,a4
81,81.pth,0.92,0,a4
82,82.pth,0.18,0,a4
83,83.pth,0.89,0,a4
84,84.pth,0.64,0,a4
85,85.pth,0.83,0,a4
86,86.pth,0.07,0,a4
87,87.pth,1.0,0,a4
88,88.pth,0.38,0,a4
89,89.pth,0.82,0,a4
90,90.pth,0.17,0,a4
91,91.pth,0.71,0,a4
92,92.pth,0.51,0,a4
93,93.pth,0.99,0,a4
94,94.pth,0.31,0,a4
95,95.pth,0.82,0,a4
96,96.pth,0.56,0,a4
97,97.pth,0.99,0,a4
98,98.pth,0.48,0,a4
99,99.pth,0.99,0,a4
100,100.pth,0.08,0,a4
101,101.pth,0.98,0,a4
102,102.pth,0.53,0,a4
103,103.pth,0.89,0,a4
104,104.pth,0.25,0,a4
