,model,architecture,accuracy,precision,recall
0,3600.pth,a1,0.900,0.919,0.874
1,3601.pth,a1,0.903,0.916,0.886
2,3602.pth,a1,0.900,0.949,0.842
3,3603.pth,a1,0.908,0.942,0.867
4,3604.pth,a1,0.898,0.878,0.922
5,3605.pth,a1,0.907,0.943,0.864
6,3606.pth,a1,0.903,0.899,0.907
7,3607.pth,a1,0.909,0.925,0.887
8,3608.pth,a1,0.906,0.918,0.889
9,3609.pth,a1,0.907,0.914,0.896
10,3610.pth,a1,0.903,0.933,0.867
11,3611.pth,a1,0.905,0.936,0.868
12,3612.pth,a1,0.913,0.914,0.910
13,3613.pth,a1,0.894,0.933,0.848
14,3614.pth,a1,0.902,0.898,0.904
15,3615.pth,a1,0.913,0.913,0.911
16,3616.pth,a1,0.904,0.943,0.857
17,3617.pth,a1,0.892,0.935,0.840
18,3618.pth,a1,0.896,0.946,0.838
19,3619.pth,a1,0.908,0.928,0.882
20,3620.pth,a1,0.903,0.927,0.873
21,3621.pth,a1,0.903,0.937,0.861
22,3622.pth,a1,0.905,0.906,0.902
23,3623.pth,a1,0.908,0.904,0.911
24,3624.pth,a1,0.903,0.938,0.861
25,3625.pth,a1,0.905,0.930,0.874
26,3626.pth,a1,0.907,0.919,0.890
27,3627.pth,a1,0.900,0.935,0.857
28,3628.pth,a1,0.913,0.920,0.903
29,3629.pth,a1,0.902,0.947,0.849
30,3630.pth,a1,0.902,0.934,0.862
31,3631.pth,a1,0.901,0.937,0.857
32,3632.pth,a1,0.912,0.938,0.880
33,3633.pth,a1,0.904,0.928,0.874
34,3634.pth,a1,0.908,0.922,0.888
35,3635.pth,a1,0.890,0.863,0.925
36,3636.pth,a1,0.907,0.916,0.895
37,3637.pth,a1,0.899,0.954,0.835
38,3638.pth,a1,0.908,0.934,0.875
39,3639.pth,a1,0.910,0.906,0.914
40,3640.pth,a1,0.909,0.920,0.894
41,3641.pth,a1,0.892,0.867,0.924
42,3642.pth,a1,0.913,0.916,0.907
43,3643.pth,a1,0.913,0.924,0.898
44,3644.pth,a1,0.913,0.906,0.919
45,3645.pth,a1,0.911,0.912,0.909
46,3646.pth,a1,0.895,0.923,0.859
47,3647.pth,a1,0.903,0.931,0.869
48,3648.pth,a1,0.896,0.935,0.849
49,3649.pth,a1,0.910,0.939,0.875
50,3650.pth,a1,0.906,0.930,0.876
51,3651.pth,a1,0.906,0.916,0.892
52,3652.pth,a1,0.907,0.922,0.886
53,3653.pth,a1,0.907,0.929,0.879
54,3654.pth,a1,0.907,0.884,0.934
55,3655.pth,a1,0.906,0.908,0.902
56,3656.pth,a1,0.913,0.920,0.901
57,3657.pth,a1,0.909,0.914,0.900
58,3658.pth,a1,0.904,0.944,0.857
59,3659.pth,a1,0.905,0.938,0.866
